transaction_id,amount,failed,new_device,international,rapid_frequency,is_fraud
1,1802.1112135787243,0,0,0,2,0
2,955.0232625057384,0,0,0,1,0
3,2095.7956345785824,0,1,0,3,0
4,5029.268657542956,0,0,0,2,0
5,867.7005140926361,0,0,0,1,0
6,867.7147599206529,0,0,0,3,0
7,5319.916121134705,0,0,0,1,0
8,2362.403304345988,0,0,0,1,0
9,685.7585611260495,0,0,0,1,0
10,1886.6537639047035,0,0,0,1,0
11,689.9245937420658,0,0,1,0,0
12,688.3312887817422,0,0,0,2,0
13,1396.8322475684772,0,0,0,1,0
14,161.858056279385,0,0,0,2,0
15,195.4065319165904,0,0,0,5,0
16,624.9755136188202,0,0,0,4,0
17,398.2854182960021,0,0,0,2,0
18,1501.5412094910894,1,1,0,2,0
19,442.2944888014099,0,0,0,5,0
20,267.11954670557367,0,0,0,0,0
21,4748.80729125873,0,0,0,0,0
22,874.9998365113838,0,0,0,2,0
23,1173.2444270914534,0,0,0,1,0
24,263.8159797741489,0,1,1,0,0
25,636.2663566771611,0,0,1,3,0
26,1225.277453161292,0,0,0,3,0
27,346.8895475755054,0,0,0,2,0
28,1596.7059716691924,0,1,0,1,0
29,601.4607682413429,0,0,0,2,0
30,819.1819744571948,0,1,0,4,0
31,600.8187977163269,1,0,0,3,0
32,6990.296027743,0,1,0,2,0
33,1081.9310959498725,0,0,0,2,0
34,380.8056237442453,0,0,0,3,0
35,2496.250068330262,0,0,0,3,0
36,323.4861661702717,0,1,0,2,0
37,1351.35570708634,0,0,0,3,0
38,154.52097940064152,0,0,0,1,0
39,290.56112031105124,0,0,1,2,0
40,1335.2331981866146,0,0,0,5,0
41,2294.950560496783,0,0,0,2,0
42,1301.6243730593364,0,0,0,0,0
43,976.868177954757,0,0,1,5,0
44,811.5096710732242,0,0,0,2,0
45,250.00427297909772,0,1,0,3,0
46,533.8718300965201,0,1,0,2,0
47,691.8445066807946,0,0,0,1,0
48,3156.194239640048,0,0,0,2,0
49,1546.2969539266462,0,0,0,2,0
50,188.09738699507537,0,0,0,5,0
51,1516.3842079174979,0,0,0,0,0
52,746.1433348256803,0,0,0,2,0
53,557.2856804265388,0,0,0,3,0
54,2021.664151979386,0,0,0,1,0
55,3074.81348309205,0,0,0,2,0
56,2782.9870802038167,0,0,0,2,0
57,473.7986662798354,0,0,0,5,0
58,804.9560053200662,1,0,0,2,0
59,1527.3102051887226,0,0,0,1,0
60,2908.9431837912525,0,0,0,2,0
61,679.1389611083339,0,0,0,3,0
62,910.8161114172196,0,0,0,2,0
63,362.7322743749061,0,0,0,5,0
64,331.5548897700886,0,0,0,4,0
65,2471.364787061823,0,0,0,2,0
66,4256.65972069623,0,0,0,0,0
67,1020.4407067638456,0,0,0,1,0
68,2991.5080323735688,0,0,0,0,0
69,1574.4102316646877,0,0,0,3,0
70,575.2934424950665,0,0,0,0,0
71,1574.0317581802808,1,0,0,3,0
72,5105.310576549074,0,0,0,1,0
73,1058.0405734611281,0,0,0,4,0
74,5242.971285433676,0,0,0,2,0
75,79.85838638711803,0,0,1,2,0
76,2494.6469729709884,0,0,0,2,0
77,1196.369781091162,0,0,0,0,0
78,813.2126598171903,0,0,0,1,0
79,1202.0224312605992,0,1,0,2,0
80,150.26961070525275,0,0,1,3,0
81,880.3575327382291,0,0,0,2,0
82,1567.304543376892,0,0,0,1,0
83,4807.315238242252,0,0,0,1,0
84,653.0996896585405,0,1,0,1,0
85,488.58154997351267,0,0,0,0,0
86,663.973976317493,0,0,0,2,0
87,2739.147768760321,0,1,0,3,0
88,1523.4779265247873,0,0,0,0,0
89,645.6385300910874,0,0,1,1,0
90,1832.190332481289,0,1,0,1,0
91,1208.4303310218968,0,0,0,2,0
92,2888.940169622106,0,0,0,6,0
93,543.4549998246548,0,0,0,3,0
94,790.2409139999497,0,1,0,2,0
95,740.9193995685441,0,1,0,3,0
96,253.78439091394233,0,0,0,1,0
97,1474.567900532589,0,1,0,3,0
98,1423.7581971481825,0,0,0,1,0
99,1102.2551060795925,0,0,1,1,0
100,867.3242231031037,1,0,1,2,0
101,266.30153525846436,0,0,0,0,0
102,720.0744988156208,0,0,0,0,0
103,778.4349918914394,0,0,0,2,0
104,491.62819558586807,0,0,0,1,0
105,933.288423196746,0,1,0,3,0
106,1642.6250096105655,0,0,1,1,0
107,7231.385299895145,0,0,0,1,0
108,1305.8086889256665,0,1,0,2,0
109,1418.7768280969192,0,0,1,3,0
110,1017.9581479519198,1,0,0,2,0
111,160.97173405589967,0,0,0,2,0
112,1067.9392379012722,0,0,1,0,0
113,1164.7132634839406,0,0,0,0,0
114,12877.567362965206,0,0,0,1,0
115,904.7322424424709,0,0,0,4,0
116,1482.5922313609117,0,0,0,3,0
117,1059.22017277474,0,0,0,5,0
118,340.80891797522435,0,0,0,0,0
119,3438.6107412722604,0,0,0,0,0
120,2326.064430180932,1,1,0,0,0
121,2418.8123810077677,0,0,0,0,0
122,441.6918845450023,0,1,1,1,0
123,4459.5106128637835,0,0,0,1,0
124,269.9262941786286,0,0,0,1,0
125,1972.105620461942,0,0,0,4,0
126,9803.116514721933,1,0,1,3,0
127,407.2648353236242,0,0,0,2,0
128,622.474255213712,1,1,1,1,0
129,1211.544614104279,0,0,0,0,0
130,662.8338436516739,0,0,0,0,0
131,232.60379812135744,0,0,0,4,0
132,1174.4590937078142,0,0,0,1,0
133,379.0606756279505,0,0,0,2,0
134,1760.921324044286,0,0,0,4,0
135,437.28089362039105,0,0,0,1,0
136,5166.415525125223,0,0,0,1,0
137,501.07044884869765,0,1,0,0,0
138,794.679178217436,0,0,0,1,0
139,2473.8161006034625,0,0,0,1,0
140,320.2608063105582,0,0,0,2,0
141,1376.721097449308,0,0,0,3,0
142,4052.7168172755796,0,0,0,2,0
143,219.75576387053815,0,0,0,1,0
144,1319.0062069845762,0,0,0,2,0
145,1422.089850323324,0,0,0,4,0
146,2396.6396078064354,0,0,0,1,0
147,318.3174926042683,0,0,0,2,0
148,292.81569591448897,0,0,0,2,0
149,1848.1521214521472,0,0,0,1,0
150,1475.843062419291,1,0,0,3,0
151,1408.7990042096267,0,0,1,3,0
152,1550.6790480552363,0,1,0,1,0
153,555.5592579798322,0,0,0,6,0
154,1383.3366154399378,0,0,0,0,0
155,1470.0805486898257,0,0,0,4,0
156,536.812344564454,0,0,0,1,0
157,7085.278864144403,1,0,0,1,0
158,1761.3448594266156,0,1,0,2,0
159,333.1845373813475,0,0,0,3,0
160,2114.4576083396023,0,0,0,2,0
161,413.7733374330772,0,0,0,3,0
162,2409.2833177752595,0,0,0,2,0
163,3493.2771253552114,0,0,0,1,0
164,482.66251448213563,0,0,0,1,0
165,2873.758774051862,0,0,0,1,0
166,1657.0280192948578,0,0,0,3,0
167,2495.040299088584,0,0,0,6,0
168,7308.497437089287,0,0,0,2,0
169,858.0066791348622,0,0,0,1,0
170,516.0810545685096,0,0,0,3,0
171,450.55743940489367,0,0,0,1,0
172,485.01980009124054,0,0,0,5,0
173,1015.258247944289,0,1,0,1,0
174,1542.4879979114228,0,0,0,2,0
175,1446.1943505596892,0,0,0,3,0
176,2507.8554111543062,0,0,0,0,0
177,1110.9845596940186,0,1,0,4,0
178,4691.6240328293125,0,0,0,2,0
179,841.6322547517424,1,0,0,3,0
180,16650.061125276334,0,0,0,4,0
181,2050.148170401222,0,0,0,2,0
182,465.37449338878616,0,0,0,1,0
183,375.8189464193762,0,0,0,3,0
184,1776.6279122176772,0,0,0,0,0
185,877.0265053593486,0,0,0,3,0
186,2239.483401883498,0,0,1,0,0
187,1760.296649310194,0,0,0,3,0
188,1019.605520987001,0,0,1,1,0
189,470.22263871218485,0,0,1,2,0
190,241.08577313938898,0,0,0,2,0
191,701.6853245714259,0,0,0,2,0
192,2582.2045616742753,0,0,0,5,0
193,1358.442014023441,0,0,0,1,0
194,315.53235280996665,1,0,0,2,0
195,1303.9858951837004,0,0,0,0,0
196,1612.1393741643935,0,0,0,2,0
197,453.1134627641911,0,0,0,1,0
198,1278.8609858402428,0,0,0,4,0
199,1162.361183683287,0,0,0,3,0
200,349.6839344866292,0,0,0,2,0
201,1568.3624998946955,0,0,0,1,0
202,1921.352273771087,0,0,1,0,0
203,3239.1014600378444,0,0,0,3,0
204,3145.732502011927,0,0,1,2,0
205,276.53312974837934,0,0,0,4,0
206,429.30815027534334,0,0,0,2,0
207,1835.4322057228585,1,0,0,4,0
208,1833.1406021241382,0,0,0,4,0
209,1835.4550002757137,0,0,0,2,0
210,51675.108833077655,0,0,0,1,0
211,1940.8678758214496,0,0,0,2,0
212,3413.7464749385927,0,1,0,0,0
213,2846.944985716119,0,0,0,1,0
214,2103.570149266602,0,0,0,4,0
215,800.0952278206428,0,0,0,0,0
216,2342.4887709736813,0,0,0,0,0
217,506.3229898260874,0,1,0,2,0
218,865.3909700041635,0,0,0,0,0
219,674.9485408380124,0,0,0,0,0
220,1190.1970247126837,0,0,0,3,0
221,11099.535800747833,1,0,0,0,0
222,169.47997994202507,0,0,0,3,0
223,2178.2132080631072,0,0,0,1,0
224,218.60886508039704,0,0,0,1,0
225,684.0753923008676,0,0,1,6,0
226,3258.2665407323234,1,0,0,3,0
227,1169.4396940317129,0,0,0,1,0
228,373.2525327529761,0,0,0,1,0
229,536.3013862038342,0,0,0,0,0
230,2163.749226338898,0,0,1,2,0
231,528.2836568234798,0,0,1,2,0
232,1361.658320977303,0,0,0,2,0
233,1147.7649860107465,0,0,0,2,0
234,571.5772543956382,0,0,0,2,0
235,9357.599653664263,0,1,0,0,0
236,2067.1353156981268,0,1,0,3,0
237,144.72818736838153,0,0,0,3,0
238,1321.4095870212288,0,0,0,5,0
239,565.7846536549583,0,0,0,3,0
240,2571.985209598899,0,1,0,1,0
241,496.4482565141984,0,0,0,1,0
242,977.7593325680475,0,0,0,0,0
243,1817.082149488647,0,0,0,2,0
244,2606.478079328029,1,0,0,2,0
245,330.2016712977259,1,0,0,2,0
246,784.8548248314157,0,0,0,1,0
247,682.0170713526421,0,0,0,3,0
248,570.5899168150067,0,0,0,3,0
249,6408.972497609967,0,1,0,1,0
250,1644.1547657912517,0,1,0,4,0
251,310.78956574004525,0,0,0,3,0
252,2745.8938986058106,0,0,0,4,0
253,9155.922320277763,0,0,0,3,0
254,3079.32365878746,0,1,0,2,0
255,239.9978665784413,0,0,0,1,0
256,675.7113089987828,1,0,0,4,0
257,3892.905796675808,0,0,0,5,0
258,540.4113097690594,0,0,0,5,0
259,1709.266188985627,0,0,0,2,0
260,2379.4723809901025,0,0,0,1,0
261,434.01084767110086,0,0,0,2,0
262,1033.2605294356747,0,0,1,2,0
263,42.894030193876084,0,0,0,3,0
264,393.70911847949134,0,0,0,2,0
265,851.8682243461251,0,0,0,1,0
266,314.8879363894616,0,1,0,3,0
267,5610.590794483932,0,0,0,1,0
268,262.396999465135,0,1,0,1,0
269,706.2402755993694,0,0,0,0,0
270,1249.8021993888644,0,0,0,1,0
271,4634.452226662664,0,0,1,2,0
272,260.9001713273147,0,0,0,2,0
273,3509.2715248949485,0,0,0,2,0
274,1107.912686073781,0,0,0,4,0
275,410.9581353936562,0,0,0,3,0
276,1740.8059493711132,0,0,0,2,0
277,1338.171883675939,0,0,0,1,0
278,601.7145255833123,0,0,0,0,0
279,1175.9152799327815,0,0,0,2,0
280,745.9707595621949,0,0,0,1,0
281,1228.460876939756,0,0,0,2,0
282,2126.283022643269,0,0,0,1,0
283,5356.236254804939,0,0,0,2,0
284,318.0423344666512,0,0,0,1,0
285,9256.056515297703,0,0,1,2,0
286,155.69706066671077,0,0,0,3,0
287,942.1974925250407,0,0,0,1,0
288,1974.987220111324,0,0,0,3,0
289,1452.4279272986976,1,0,0,4,0
290,588.3373337077369,0,0,0,2,0
291,890.5842870647267,0,0,0,0,0
292,669.8133324890073,1,0,0,3,0
293,608.2799639798066,0,0,0,0,0
294,2564.7136065921627,0,1,0,4,0
295,1567.1523881446112,0,0,0,1,0
296,548.4468666493849,0,0,0,0,0
297,2696.2032952337186,0,0,1,1,0
298,1491.1449413572777,0,0,0,1,0
299,2472.196038018958,0,0,0,1,0
300,2058.2859286008834,0,0,1,1,0
301,478.6669194687263,0,0,1,4,0
302,626.2934052658633,0,0,0,1,0
303,2315.297817520781,0,0,0,2,0
304,2019.0255346980168,1,0,0,2,0
305,1073.9496638382157,0,0,0,4,0
306,1233.1502873764287,0,0,0,2,0
307,3934.9950219799325,1,0,0,2,0
308,606.9391938493634,0,1,0,2,0
309,1895.2335990202419,0,0,0,1,0
310,895.8807813258103,0,0,1,1,0
311,882.1117924397815,0,0,0,0,0
312,3290.440916611936,0,0,0,0,0
313,2503.428193685147,0,0,0,2,0
314,2473.7973457617823,0,0,0,2,0
315,4045.978918075107,0,1,0,2,0
316,1119.9102662197558,1,0,0,3,0
317,2168.851342849789,0,0,0,1,0
318,804.1077224948305,0,0,0,0,0
319,1516.5091374856743,1,0,0,0,0
320,962.8108216665039,0,0,0,2,0
321,1208.3317460339397,0,0,0,1,0
322,1988.542078674468,0,0,0,1,0
323,483.8521170610703,0,0,0,1,0
324,8887.377367334679,0,0,0,1,0
325,401.00849775872376,0,0,0,2,0
326,325.6461580755598,0,0,0,2,0
327,3491.584324981874,0,0,0,3,0
328,2420.338520720242,1,0,0,2,0
329,2046.9779567757896,0,0,0,3,0
330,2055.646157261149,0,0,0,4,0
331,1083.284844957362,0,0,0,2,0
332,447.0836119724609,0,0,0,1,0
333,1182.9949062677133,1,0,0,1,0
334,557.152108813858,0,0,0,3,0
335,2907.706000837381,1,0,1,1,0
336,946.662478632745,0,0,0,1,0
337,480.34413897401595,0,0,0,2,0
338,795.2163041564328,0,0,1,1,0
339,1657.2774660872708,1,0,0,1,0
340,624.0780540691509,1,1,0,1,0
341,481.9207128865157,0,0,0,3,0
342,1399.2437785571617,0,1,0,0,0
343,1401.0350601438581,0,1,0,0,0
344,660.5394334673073,0,0,1,3,0
345,684.6869280067497,0,0,0,2,0
346,1383.0547757579586,0,0,0,4,0
347,257.7308075169322,1,0,0,2,0
348,268.41551947782415,0,0,0,4,0
349,534.6197672232965,0,0,0,1,0
350,885.854617276349,0,0,0,3,0
351,1496.5347765278798,0,0,0,2,0
352,4795.130567863151,1,0,0,4,0
353,2585.4623330705085,0,0,0,2,0
354,934.5465795760492,0,0,0,1,0
355,1075.9763835393012,1,0,0,5,0
356,402.40966438650094,0,0,0,3,0
357,1076.5178132116152,0,0,0,2,0
358,821.6720595055178,0,0,0,1,0
359,1514.3151360727345,0,0,0,2,0
360,479.51206539034126,0,0,0,2,0
361,1843.362289365007,0,0,0,4,0
362,5078.3359245580405,0,0,1,3,0
363,983.6202045329187,0,0,0,0,0
364,1638.7871787774518,0,0,0,0,0
365,2186.6894047093974,0,0,0,0,0
366,734.1985734885454,0,0,0,1,0
367,1372.092851217482,0,0,1,0,0
368,1110.529714542782,0,0,0,4,0
369,1209.153852540755,0,0,0,5,0
370,506.2295467608473,0,0,0,1,0
371,1123.8439364726087,0,0,0,4,0
372,1804.4268599772201,0,1,0,0,0
373,4680.4222434209505,0,1,1,2,0
374,2861.9853064404538,0,0,0,1,0
375,9444.449160768114,1,0,0,1,0
376,509.10406070147764,0,0,0,2,0
377,2623.64706072523,0,0,0,2,0
378,1317.3033452909835,0,0,0,2,0
379,9796.720180838209,0,0,0,2,0
380,488.67698783902415,0,0,0,5,0
381,473.55978087237327,1,0,0,3,0
382,602.2106822244683,0,1,0,3,0
383,131.1188646702209,1,0,1,1,0
384,648.2296153864863,0,0,0,0,0
385,513.3035258082359,1,0,0,2,0
386,1274.6077796672216,0,0,0,0,0
387,1543.4199435634466,0,0,0,1,0
388,7159.323979425839,0,0,0,1,0
389,2836.7770301435667,0,1,0,1,0
390,615.9072255622924,0,0,0,1,0
391,446.56516175597454,0,0,0,1,0
392,1793.4908075005897,0,0,0,4,0
393,292.8811200242829,0,0,0,3,0
394,6846.266634740118,0,0,0,2,0
395,3566.8570923004554,0,0,0,2,0
396,685.9634510098862,1,0,0,2,0
397,197.7226855442784,0,0,1,1,0
398,4246.593343110303,0,0,0,1,0
399,977.9515752477811,0,0,0,4,0
400,3781.274162999435,0,0,0,4,0
401,222.64361213798935,0,1,0,3,0
402,602.2212947698533,0,0,0,2,0
403,1102.3986765241634,0,0,0,0,0
404,1149.3830438212228,0,0,0,2,0
405,699.1983947641006,0,0,0,3,0
406,2044.3801805649496,0,0,0,0,0
407,377.05066585910504,1,0,0,1,0
408,951.1012416526984,0,0,0,2,0
409,1236.8160214609977,0,0,0,1,0
410,1834.3378195075034,0,0,0,2,0
411,2234.147222009866,0,0,0,3,0
412,356.1521076085421,1,0,0,1,0
413,236.48524790522313,0,0,0,0,0
414,3935.041951443592,0,0,1,0,0
415,1528.9156107801682,0,1,0,2,0
416,518.7974117138571,0,0,0,2,0
417,5172.709831388329,0,0,0,2,0
418,1231.1138827489042,0,0,0,3,0
419,3566.3472941053396,0,0,0,1,0
420,1173.2330193654043,1,0,0,2,0
421,8610.588319531375,0,0,0,3,0
422,6344.482664351437,0,0,0,1,0
423,854.9438989500853,0,0,1,1,0
424,2897.4054727498983,0,0,0,1,0
425,2090.9545215718476,0,0,0,3,0
426,4309.734401996828,0,1,0,2,0
427,417.83078894067546,0,0,0,1,0
428,2177.7585962483167,1,0,1,3,0
429,3160.3071045708843,0,0,0,1,0
430,188.90807358274122,0,0,0,1,0
431,335.8758129523534,0,0,0,5,0
432,142.70332462866753,0,0,0,3,0
433,837.6439801794602,0,0,0,1,0
434,2247.429181155071,0,0,0,1,0
435,4926.366869705827,0,0,0,2,0
436,1180.9739760334003,0,0,1,2,0
437,5589.334714561912,0,0,0,1,0
438,275.8613934103746,0,0,0,6,0
439,199.6603275897316,0,0,0,2,0
440,1037.3786704309184,0,0,0,5,0
441,1610.122350095578,1,0,0,5,0
442,1061.3587988566446,0,0,1,3,0
443,138.73392637363838,0,0,0,1,0
444,1003.1295684110115,0,0,0,2,0
445,297.5345936777077,0,0,0,1,0
446,2142.3798056038204,0,0,1,4,0
447,1582.2422192120898,0,1,0,0,0
448,428.42693653924323,0,0,0,2,0
449,655.9818249315894,0,0,0,1,0
450,380.2338575786183,0,0,0,1,0
451,1030.0070261722055,1,0,0,2,0
452,2850.1939412283527,0,0,0,3,0
453,409.2286120952554,0,0,1,5,0
454,1815.3735088332087,0,0,1,0,0
455,645.3174599155268,0,0,0,1,0
456,496.2734909150923,0,0,0,3,0
457,985.3231318808026,0,0,0,1,0
458,389.458642074987,0,0,0,1,0
459,630.3975768158643,0,0,0,1,0
460,331.0012353055885,0,0,0,2,0
461,7822.23135941598,0,0,0,4,0
462,1135.9942662710275,0,1,0,2,0
463,544.7214112802183,0,0,0,4,0
464,1358.2873867567814,0,0,0,1,0
465,980.1169980550571,0,0,0,1,0
466,879.2158234365692,0,0,0,2,0
467,2026.7052015690247,0,1,0,1,0
468,2339.067699739979,1,0,1,1,0
469,645.160325380393,1,0,0,2,0
470,616.5761034538276,0,0,0,0,0
471,832.9289153808999,0,0,0,1,0
472,109.73614859233527,0,1,0,1,0
473,241.0028930562657,1,0,0,0,0
474,4302.167598932291,0,0,0,4,0
475,5681.483819924746,0,0,0,1,0
476,854.8824383214168,0,1,0,1,0
477,1951.8969294747747,0,0,0,3,0
478,1497.04756063099,0,0,0,0,0
479,23834.295467269567,1,0,0,0,0
480,3359.5923172187404,0,0,1,5,0
481,964.9559074363033,0,1,0,3,0
482,421.7697543779462,0,0,0,1,0
483,219.9837499459901,0,0,0,3,0
484,1344.0781085394767,0,0,0,4,0
485,514.7334813238675,0,0,0,4,0
486,264.4748840355366,0,0,0,0,0
487,574.4580736401907,0,0,1,3,0
488,371.8356651748277,0,0,0,4,0
489,5926.218714556848,0,0,0,3,0
490,2648.2114244754184,0,0,0,3,0
491,1087.924855814121,0,0,0,2,0
492,4817.180796288309,0,0,1,2,0
493,1184.8462610566046,0,1,0,2,0
494,463.4580151357667,0,0,0,2,0
495,5029.742541893794,0,0,0,5,0
496,1879.7800300478768,0,0,0,2,0
497,388.67901380438326,0,0,0,1,0
498,906.563721685054,0,1,0,2,0
499,456.8621693534726,0,0,0,3,0
500,275.1180474559826,0,1,1,0,0
501,2768.8228571211966,0,0,0,0,0
502,7401.342195163669,0,0,0,1,0
503,270.8140508611659,0,0,0,5,0
504,1925.5544605254238,0,0,0,3,0
505,572.1249610407875,0,0,0,3,0
506,673.7604391715223,0,0,0,2,0
507,606.4401701354014,0,0,0,1,0
508,462.2053303429474,0,0,0,1,0
509,1151.1556478486623,0,0,0,0,0
510,477.73198938836197,0,0,0,3,0
511,1437.2068562371244,0,0,0,1,0
512,1042.9013739420773,0,0,0,3,0
513,863.5501324199292,0,0,0,1,0
514,442.4981740321272,0,0,0,1,0
515,615.9887309363379,0,0,0,1,0
516,2334.1223350995256,0,0,0,0,0
517,1809.701489308114,0,0,0,0,0
518,412.58603560954595,0,0,1,2,0
519,1211.158120754044,0,0,0,2,0
520,2324.7949564815253,1,0,0,2,0
521,206.56078323162282,1,0,0,1,0
522,1888.1639717534508,1,0,0,2,0
523,565.3111237283476,0,0,0,2,0
524,1940.3015315103078,0,0,0,3,0
525,511.18974563234303,0,0,0,3,0
526,180.38940933481805,0,0,0,1,0
527,215.39155592430185,0,0,0,3,0
528,1150.6530694641888,0,0,1,2,0
529,1421.8619182160726,1,0,0,3,0
530,443.9373171588568,0,0,0,4,0
531,2076.8185506162085,0,0,0,2,0
532,208.19599875719464,0,0,1,5,0
533,1026.5102290143436,0,0,0,1,0
534,326.6808826080554,0,0,0,1,0
535,571.442515113621,0,1,0,3,0
536,1149.8636755337816,0,0,1,1,0
537,463.8617868643424,0,0,0,0,0
538,746.5364590477295,0,0,0,1,0
539,2999.7757330756053,0,0,0,1,0
540,615.9144847733999,0,1,0,5,0
541,2529.2854526929646,0,0,0,2,0
542,354.35284192891174,0,0,1,2,0
543,1862.7407020720188,0,0,0,3,0
544,4635.82112894591,0,0,0,4,0
545,92.60614497510798,0,0,0,1,0
546,494.2812783548208,1,0,0,2,0
547,1952.9027358035194,0,0,0,2,0
548,895.1171593031822,0,0,1,0,0
549,1589.454053020105,0,0,0,2,0
550,599.4513458449992,0,0,0,3,0
551,1195.8228292669223,0,0,0,2,0
552,938.5374549509852,0,0,0,2,0
553,3525.515908857153,0,0,0,3,0
554,1414.3436392883398,1,0,0,1,0
555,1537.0229299618043,0,0,0,0,0
556,726.4161310464091,0,0,0,2,0
557,673.4365458712872,0,0,0,1,0
558,711.5472413620806,0,1,0,3,0
559,1626.9333515692451,0,0,0,2,0
560,719.8303211589669,0,0,0,0,0
561,1465.2407712103645,0,0,0,2,0
562,8737.68709025622,0,0,0,4,0
563,2620.51122936307,0,0,0,2,0
564,791.5368756655135,0,0,0,1,0
565,3645.372821359057,0,0,0,1,0
566,729.1829253795463,0,0,1,2,0
567,142.86147647934715,0,0,0,1,0
568,400.17969714158914,1,0,0,1,0
569,168.8833228199962,0,0,0,3,0
570,771.6156134277312,0,0,0,2,0
571,1117.0185201479644,1,0,0,2,0
572,5863.120868814661,1,0,0,0,0
573,1520.7020371580752,0,0,0,2,0
574,880.8606766872283,0,0,0,3,0
